Timestamp,PM2.5 (µg/m³),PM10 (µg/m³),NO (µg/m³),NO2 (µg/m³),NOx (ppb),NH3 (µg/m³),SO2 (µg/m³),CO (mg/m³),Ozone (µg/m³),Benzene (µg/m³),Toluene (µg/m³),Xylene (µg/m³),O Xylene (µg/m³),Eth-Benzene (µg/m³),MP-Xylene (µg/m³),AT (°C),RH (%),WS (m/s),WD (deg),RF (mm),TOT-RF (mm),SR (W/mt2),BP (mmHg),VWS (m/s)
2025-01-01 00:00:00,204.00,400.35,NA,60.48,NA,NA,22.06,NA,NA,0.00,NA,NA,NA,NA,NA,NA,97.02,0.43,127.97,0.00,0.00,217.55,NA,NA
2025-01-01 01:00:00,205.30,402.80,NA,58.92,NA,NA,25.78,NA,NA,0.00,NA,NA,NA,NA,NA,NA,97.02,0.40,119.42,0.00,0.00,217.50,NA,NA
2025-01-01 02:00:00,208.58,408.95,NA,58.97,NA,NA,26.77,NA,NA,0.00,NA,NA,NA,NA,NA,NA,97.02,0.38,115.52,0.00,0.00,217.60,NA,NA
2025-01-01 03:00:00,214.42,420.02,NA,59.80,NA,NA,27.03,NA,NA,0.00,NA,NA,NA,NA,NA,NA,97.02,0.39,120.92,0.00,0.00,217.90,NA,NA
2025-01-01 04:00:00,214.10,419.47,NA,60.65,NA,NA,21.56,NA,NA,0.00,NA,NA,NA,NA,NA,NA,97.02,0.38,122.23,0.00,0.00,217.97,NA,NA
2025-01-01 05:00:00,168.75,333.80,NA,61.92,NA,NA,26.44,NA,NA,0.00,NA,NA,NA,NA,NA,NA,97.02,0.40,128.57,0.00,0.00,217.88,NA,NA
2025-01-01 06:00:00,149.82,298.05,NA,62.50,NA,NA,21.72,NA,NA,0.00,NA,NA,NA,NA,NA,NA,97.02,0.45,127.68,0.00,0.00,217.80,NA,NA
2025-01-01 07:00:00,136.28,272.42,NA,62.84,NA,NA,26.46,NA,NA,0.00,NA,NA,NA,NA,NA,NA,97.02,0.43,135.19,0.00,0.00,217.73,NA,NA
2025-01-01 08:00:00,133.65,267.40,NA,62.99,NA,NA,25.57,NA,NA,0.00,NA,NA,NA,NA,NA,NA,96.70,0.49,133.25,0.00,0.00,217.90,NA,NA
2025-01-01 09:00:00,123.60,248.42,NA,63.41,NA,NA,25.12,NA,NA,0.00,NA,NA,NA,NA,NA,NA,92.36,0.84,142.14,0.00,0.00,218.15,NA,NA
2025-01-01 10:00:00,113.80,229.95,NA,64.46,NA,NA,24.28,NA,NA,0.00,NA,NA,NA,NA,NA,NA,83.29,1.25,150.36,0.00,0.00,218.20,NA,NA
2025-01-01 11:00:00,105.40,214.08,NA,66.12,NA,NA,22.74,NA,NA,0.00,NA,NA,NA,NA,NA,NA,76.55,1.60,149.51,0.00,0.00,218.15,NA,NA
2025-01-01 12:00:00,106.60,216.32,NA,67.66,NA,NA,14.59,NA,NA,0.00,NA,NA,NA,NA,NA,NA,72.89,1.78,152.60,0.00,0.00,218.18,NA,NA
2025-01-01 13:00:00,107.22,217.50,NA,68.14,NA,NA,22.34,NA,NA,0.00,NA,NA,NA,NA,NA,NA,69.38,1.60,154.26,0.00,0.00,218.00,NA,NA
2025-01-01 14:00:00,112.72,227.92,NA,68.75,NA,NA,22.14,NA,NA,0.00,NA,NA,NA,NA,NA,NA,68.74,1.41,149.88,0.00,0.00,217.58,NA,NA
2025-01-01 15:00:00,128.02,256.83,NA,69.05,NA,NA,21.20,NA,NA,0.00,NA,NA,NA,NA,NA,NA,71.85,1.04,147.39,0.00,0.00,217.48,NA,NA
2025-01-01 16:00:00,140.70,280.75,NA,69.09,NA,NA,23.18,NA,NA,0.00,NA,NA,NA,NA,NA,NA,76.47,0.72,145.57,0.00,0.00,217.58,NA,NA
2025-01-01 17:00:00,143.02,285.15,NA,68.84,NA,NA,23.12,NA,NA,0.00,NA,NA,NA,NA,NA,NA,84.83,0.56,144.01,0.00,0.00,217.40,NA,NA
2025-01-01 18:00:00,145.83,290.45,NA,67.85,NA,NA,14.03,NA,NA,0.00,NA,NA,NA,NA,NA,NA,93.50,0.47,141.19,0.00,0.00,217.78,NA,NA
2025-01-01 19:00:00,147.52,293.73,NA,66.01,NA,NA,12.38,NA,NA,0.00,NA,NA,NA,NA,NA,NA,96.92,0.51,140.79,0.00,0.00,217.72,NA,NA
2025-01-01 20:00:00,148.35,295.23,NA,63.78,NA,NA,12.14,NA,NA,0.00,NA,NA,NA,NA,NA,NA,97.02,0.46,133.93,0.00,0.00,217.78,NA,NA
2025-01-01 21:00:00,139.43,278.30,NA,62.33,NA,NA,9.20,NA,NA,0.00,NA,NA,NA,NA,NA,NA,97.02,0.43,132.28,0.00,0.00,217.73,NA,NA
2025-01-01 22:00:00,144.20,287.38,NA,61.11,NA,NA,12.34,NA,NA,0.00,NA,NA,NA,NA,NA,NA,97.02,0.38,125.63,0.00,0.00,217.65,NA,NA
2025-01-01 23:00:00,144.20,287.40,NA,60.45,NA,NA,12.38,NA,NA,0.00,NA,NA,NA,NA,NA,NA,97.02,0.39,129.23,0.00,0.00,217.63,NA,NA
2025-01-02 00:00:00,139.85,279.15,NA,60.40,NA,NA,21.98,NA,NA,0.00,NA,NA,NA,NA,NA,NA,97.02,0.39,120.71,0.00,0.00,217.65,NA,NA
2025-01-02 01:00:00,133.30,266.83,NA,61.24,NA,NA,25.80,NA,NA,0.00,NA,NA,NA,NA,NA,NA,97.02,0.40,124.68,0.00,0.00,217.88,NA,NA
2025-01-02 02:00:00,117.70,237.35,NA,62.10,NA,NA,26.38,NA,NA,0.00,NA,NA,NA,NA,NA,NA,97.02,0.44,127.66,0.00,0.00,217.82,NA,NA
2025-01-02 03:00:00,103.32,210.18,NA,62.88,NA,NA,25.19,NA,NA,0.00,NA,NA,NA,NA,NA,NA,97.02,0.43,128.09,0.00,0.00,217.90,NA,NA
2025-01-02 04:00:00,109.02,220.95,NA,63.40,NA,NA,25.41,NA,NA,0.00,NA,NA,NA,NA,NA,NA,97.02,0.45,132.89,0.00,0.00,217.92,NA,NA
2025-01-02 05:00:00,108.20,219.35,NA,63.42,NA,NA,25.40,NA,NA,0.00,NA,NA,NA,NA,NA,NA,97.02,0.44,133.87,0.00,0.00,218.00,NA,NA
2025-01-02 06:00:00,110.93,224.48,NA,63.20,NA,NA,12.96,NA,NA,0.00,NA,NA,NA,NA,NA,NA,97.02,0.45,136.99,0.00,0.00,217.92,NA,NA
2025-01-02 07:00:00,122.82,247.05,NA,62.92,NA,NA,11.70,NA,NA,0.00,NA,NA,NA,NA,NA,NA,97.02,0.49,135.29,0.00,0.00,217.88,NA,NA
2025-01-02 08:00:00,122.52,246.48,NA,62.53,NA,NA,11.03,NA,NA,0.00,NA,NA,NA,NA,NA,NA,97.02,0.55,139.31,0.00,0.00,217.77,NA,NA
2025-01-02 09:00:00,123.78,248.88,NA,62.85,NA,NA,9.20,NA,NA,0.00,NA,NA,NA,NA,NA,NA,97.02,0.75,143.70,0.00,0.00,218.05,NA,NA
2025-01-02 10:00:00,136.32,272.58,NA,64.10,NA,NA,9.88,NA,NA,0.00,NA,NA,NA,NA,NA,NA,92.86,1.27,154.37,0.00,0.00,218.35,NA,NA
2025-01-02 11:00:00,130.60,261.73,NA,65.21,NA,NA,9.13,NA,NA,0.00,NA,NA,NA,NA,NA,NA,82.55,1.40,160.44,0.00,0.00,218.37,NA,NA
2025-01-02 12:00:00,124.90,250.98,NA,66.27,NA,NA,14.26,NA,NA,0.00,NA,NA,NA,NA,NA,NA,74.73,1.74,156.21,0.00,0.00,218.55,NA,NA
2025-01-02 13:00:00,127.70,256.30,NA,67.15,NA,NA,21.59,NA,NA,0.00,NA,NA,NA,NA,NA,NA,70.29,1.37,157.52,0.00,0.00,218.43,NA,NA
2025-01-02 14:00:00,122.30,246.00,NA,67.38,NA,NA,22.40,NA,NA,0.00,NA,NA,NA,NA,NA,NA,67.89,1.83,152.35,0.00,0.00,217.90,NA,NA
2025-01-02 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-02 16:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-02 17:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-02 18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-02 19:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-02 20:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-02 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-02 22:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-02 23:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-03 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-03 01:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-03 02:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-03 03:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-03 04:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-03 05:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-03 06:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-03 07:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-03 08:00:00,162.30,321.50,NA,58.85,NA,NA,23.39,NA,NA,0.00,NA,NA,NA,NA,NA,NA,97.02,NA,138.10,0.00,0.00,217.90,NA,NA
2025-01-03 09:00:00,158.60,314.58,NA,60.14,NA,NA,23.51,NA,NA,0.00,NA,NA,NA,NA,NA,NA,97.02,0.68,141.93,0.00,0.00,218.08,NA,NA
2025-01-03 10:00:00,165.60,327.82,NA,62.24,NA,NA,23.20,NA,NA,0.00,NA,NA,NA,NA,NA,NA,97.02,0.92,150.20,0.00,0.00,218.20,NA,NA
2025-01-03 11:00:00,188.15,370.38,NA,65.32,NA,NA,21.45,NA,NA,0.00,NA,NA,NA,NA,NA,NA,97.02,1.37,153.70,0.00,0.00,218.45,NA,NA
2025-01-03 12:00:00,201.75,396.05,NA,70.81,NA,NA,22.17,NA,NA,0.00,NA,NA,NA,NA,NA,NA,89.98,1.52,164.03,0.00,0.00,218.72,NA,NA
2025-01-03 13:00:00,213.25,417.80,NA,78.26,NA,NA,29.91,NA,NA,0.00,NA,NA,NA,NA,NA,NA,71.69,1.39,159.79,0.00,0.00,218.92,NA,NA
2025-01-03 14:00:00,250.05,487.35,NA,85.44,NA,NA,30.12,NA,NA,0.00,NA,NA,NA,NA,NA,NA,62.16,1.34,160.98,0.00,0.00,218.58,NA,NA
2025-01-03 15:00:00,261.85,509.60,NA,87.17,NA,NA,29.13,NA,NA,0.00,NA,NA,NA,NA,NA,NA,57.24,1.06,160.86,0.00,0.00,218.35,NA,NA
2025-01-03 16:00:00,223.10,451.87,NA,83.66,NA,NA,30.44,NA,NA,0.00,NA,NA,NA,NA,NA,NA,59.02,0.80,153.50,0.00,0.00,217.87,NA,NA
2025-01-03 17:00:00,183.52,361.75,NA,79.98,NA,NA,31.71,NA,NA,0.00,NA,NA,NA,NA,NA,NA,77.13,0.54,154.52,0.00,0.00,217.75,NA,NA
2025-01-03 18:00:00,159.15,315.65,NA,77.88,NA,NA,17.77,NA,NA,0.00,NA,NA,NA,NA,NA,NA,91.69,0.53,153.06,0.00,0.00,217.97,NA,NA
2025-01-03 19:00:00,166.23,329.00,NA,73.62,NA,NA,17.48,NA,NA,0.00,NA,NA,NA,NA,NA,NA,96.86,0.49,147.66,0.00,0.00,217.95,NA,NA
2025-01-03 20:00:00,168.68,333.62,NA,68.01,NA,NA,16.54,NA,NA,0.00,NA,NA,NA,NA,NA,NA,97.02,0.50,147.38,0.00,0.00,217.92,NA,NA
2025-01-03 21:00:00,164.82,326.38,NA,63.61,NA,NA,18.05,NA,NA,0.00,NA,NA,NA,NA,NA,NA,97.02,0.52,144.50,0.00,0.00,217.92,NA,NA
2025-01-03 22:00:00,176.25,347.92,NA,60.61,NA,NA,17.30,NA,NA,0.00,NA,NA,NA,NA,NA,NA,97.02,0.52,140.47,0.00,0.00,217.95,NA,NA
2025-01-03 23:00:00,187.80,369.73,NA,59.18,NA,NA,18.62,NA,NA,0.00,NA,NA,NA,NA,NA,NA,97.02,0.53,139.62,0.00,0.00,217.63,NA,NA
2025-01-04 00:00:00,215.42,421.98,NA,59.28,NA,NA,20.54,NA,NA,0.00,NA,NA,NA,NA,NA,NA,97.02,0.52,136.84,0.00,0.00,217.70,NA,NA
2025-01-04 01:00:00,208.15,408.15,NA,60.62,NA,NA,25.19,NA,NA,0.00,NA,NA,NA,NA,NA,NA,97.02,0.50,138.89,0.00,0.00,218.00,NA,NA
2025-01-04 02:00:00,194.90,383.10,NA,60.79,NA,NA,23.68,NA,NA,0.00,NA,NA,NA,NA,NA,NA,97.02,0.51,141.12,0.00,0.00,218.08,NA,NA
2025-01-04 03:00:00,182.32,359.38,NA,60.28,NA,NA,23.39,NA,NA,0.00,NA,NA,NA,NA,NA,NA,97.02,0.52,142.94,0.00,0.00,217.98,NA,NA
2025-01-04 04:00:00,177.77,350.80,NA,59.55,NA,NA,24.66,NA,NA,0.00,NA,NA,NA,NA,NA,NA,97.02,0.55,145.62,0.00,0.00,218.05,NA,NA
2025-01-04 05:00:00,173.53,342.83,NA,59.61,NA,NA,23.91,NA,NA,0.00,NA,NA,NA,NA,NA,NA,97.02,0.49,143.94,0.00,0.00,218.17,NA,NA
2025-01-04 06:00:00,160.45,318.05,NA,60.06,NA,NA,21.01,NA,NA,0.00,NA,NA,NA,NA,NA,NA,97.02,0.49,145.82,0.00,0.00,218.02,NA,NA
2025-01-04 07:00:00,140.98,281.30,NA,60.60,NA,NA,26.10,NA,NA,0.00,NA,NA,NA,NA,NA,NA,97.02,0.53,147.77,0.00,0.00,218.12,NA,NA
2025-01-04 08:00:00,122.28,246.00,NA,60.87,NA,NA,25.84,NA,NA,0.00,NA,NA,NA,NA,NA,NA,97.02,0.60,147.71,0.00,0.00,217.98,NA,NA
2025-01-04 09:00:00,133.65,267.50,NA,61.94,NA,NA,26.13,NA,NA,0.00,NA,NA,NA,NA,NA,NA,97.02,0.62,149.13,0.00,0.00,218.10,NA,NA
2025-01-04 10:00:00,165.95,328.52,NA,65.23,NA,NA,26.07,NA,NA,0.00,NA,NA,NA,NA,NA,NA,97.02,0.88,149.67,0.00,0.00,218.22,NA,NA
2025-01-04 11:00:00,210.42,412.52,NA,69.92,NA,NA,27.70,NA,NA,0.00,NA,NA,NA,NA,NA,NA,97.02,1.33,152.70,0.00,0.00,218.45,NA,NA
2025-01-04 12:00:00,240.80,469.88,NA,76.69,NA,NA,20.20,NA,NA,0.00,NA,NA,NA,NA,NA,NA,93.82,1.61,155.12,0.00,0.00,218.65,NA,NA
2025-01-04 13:00:00,234.00,457.00,NA,84.38,NA,NA,22.22,NA,NA,0.00,NA,NA,NA,NA,NA,NA,79.21,1.62,163.23,0.00,0.00,218.78,NA,NA
2025-01-04 14:00:00,240.77,469.82,NA,88.04,NA,NA,19.74,NA,NA,0.00,NA,NA,NA,NA,NA,NA,70.52,1.22,151.72,0.00,0.00,218.52,NA,NA
2025-01-04 15:00:00,237.12,462.92,NA,87.52,NA,NA,20.92,NA,NA,0.00,NA,NA,NA,NA,NA,NA,72.41,1.04,148.66,0.00,0.00,218.35,NA,NA
2025-01-04 16:00:00,235.12,459.22,NA,84.76,NA,NA,20.04,NA,NA,0.00,NA,NA,NA,NA,NA,NA,77.55,0.71,149.39,0.00,0.00,218.12,NA,NA
2025-01-04 17:00:00,221.75,433.98,NA,80.96,NA,NA,22.18,NA,NA,0.00,NA,NA,NA,NA,NA,NA,85.76,0.45,139.05,0.00,0.00,218.28,NA,NA
2025-01-04 18:00:00,203.40,399.28,NA,76.40,NA,NA,20.37,NA,NA,0.00,NA,NA,NA,NA,NA,NA,93.71,0.46,142.75,0.00,0.00,218.15,NA,NA
2025-01-04 19:00:00,199.70,392.28,NA,72.06,NA,NA,24.24,NA,NA,0.00,NA,NA,NA,NA,NA,NA,96.90,0.45,142.37,0.00,0.00,218.05,NA,NA
2025-01-04 20:00:00,199.75,392.30,NA,69.20,NA,NA,24.20,NA,NA,0.00,NA,NA,NA,NA,NA,NA,97.02,0.42,142.64,0.00,0.00,218.20,NA,NA
2025-01-04 21:00:00,197.10,387.25,NA,67.61,NA,NA,24.74,NA,NA,0.00,NA,NA,NA,NA,NA,NA,97.02,0.44,140.20,0.00,0.00,218.02,NA,NA
2025-01-04 22:00:00,195.50,384.25,NA,66.39,NA,NA,26.08,NA,NA,0.00,NA,NA,NA,NA,NA,NA,97.02,0.54,144.05,0.00,0.00,218.10,NA,NA
2025-01-04 23:00:00,196.00,385.20,NA,65.63,NA,NA,23.05,NA,NA,0.00,NA,NA,NA,NA,NA,NA,97.02,0.45,145.18,0.00,0.00,218.00,NA,NA
2025-01-05 00:00:00,207.10,406.22,NA,64.43,NA,NA,17.09,NA,NA,0.00,NA,NA,NA,NA,NA,NA,97.02,0.43,140.10,0.00,0.00,218.12,NA,NA
2025-01-05 01:00:00,208.25,408.40,NA,63.22,NA,NA,23.15,NA,NA,0.00,NA,NA,NA,NA,NA,NA,97.02,0.38,138.11,0.00,0.00,218.18,NA,NA
2025-01-05 02:00:00,196.00,385.25,NA,62.27,NA,NA,23.65,NA,NA,0.00,NA,NA,NA,NA,NA,NA,97.02,0.37,139.21,0.00,0.00,218.08,NA,NA
2025-01-05 03:00:00,165.15,326.97,NA,61.38,NA,NA,23.31,NA,NA,0.00,NA,NA,NA,NA,NA,NA,97.02,0.46,138.48,0.00,0.00,217.98,NA,NA
2025-01-05 04:00:00,143.82,286.62,NA,60.60,NA,NA,23.83,NA,NA,0.00,NA,NA,NA,NA,NA,NA,97.02,0.43,142.01,0.00,0.00,217.98,NA,NA
2025-01-05 05:00:00,132.12,266.77,NA,60.20,NA,NA,23.10,NA,NA,0.00,NA,NA,NA,NA,NA,NA,97.02,0.51,153.23,0.00,0.00,218.08,NA,NA
2025-01-05 06:00:00,122.40,246.20,NA,59.89,NA,NA,13.86,NA,NA,0.00,NA,NA,NA,NA,NA,NA,97.02,0.55,151.99,0.00,0.00,218.00,NA,NA
2025-01-05 07:00:00,120.45,242.52,NA,59.52,NA,NA,15.25,NA,NA,0.00,NA,NA,NA,NA,NA,NA,97.02,0.56,156.27,0.00,0.00,217.92,NA,NA
2025-01-05 08:00:00,129.07,263.13,NA,47.84,NA,NA,13.50,NA,NA,0.00,NA,NA,NA,NA,NA,NA,97.02,0.51,156.38,0.00,0.00,217.98,NA,NA
2025-01-05 09:00:00,121.92,245.32,NA,59.11,NA,NA,14.42,NA,NA,0.00,NA,NA,NA,NA,NA,NA,97.02,0.43,180.03,0.00,0.00,218.18,NA,NA
2025-01-05 10:00:00,108.22,219.52,NA,59.39,NA,NA,13.48,NA,NA,0.00,NA,NA,NA,NA,NA,NA,96.48,0.36,179.26,0.00,0.00,218.25,NA,NA
2025-01-05 11:00:00,86.02,177.52,NA,60.30,NA,NA,13.56,NA,NA,0.00,NA,NA,NA,NA,NA,NA,92.20,0.68,174.44,0.00,0.00,218.25,NA,NA
2025-01-05 12:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-05 13:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-05 14:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-05 15:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-05 16:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-05 17:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-05 18:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-05 19:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-05 20:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-05 21:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-05 22:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-05 23:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-06 00:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-06 01:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-06 02:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-06 03:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-06 04:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-06 05:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-06 06:00:00,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.00,NA,NA,NA
2025-01-06 07:00:00,115.18,232.60,NA,59.46,NA,NA,15.25,NA,NA,0.00,NA,NA,NA,NA,NA,NA,97.02,0.64,151.51,0.00,0.00,218.02,NA,NA
2025-01-06 08:00:00,116.75,222.00,NA,60.06,NA,NA,14.62,NA,NA,0.00,NA,NA,NA,NA,NA,NA,97.02,0.54,161.85,0.00,0.00,218.22,NA,NA
2025-01-06 09:00:00,125.60,228.50,NA,61.68,NA,NA,15.45,NA,NA,0.00,NA,NA,NA,NA,NA,NA,94.64,0.58,164.48,0.00,0.00,218.35,NA,NA
2025-01-06 10:00:00,147.73,266.18,NA,63.22,NA,NA,15.94,NA,NA,0.00,NA,NA,NA,NA,NA,NA,85.61,0.82,178.84,0.00,0.00,218.45,NA,NA
2025-01-06 11:00:00,147.70,266.15,NA,64.89,NA,NA,15.36,NA,NA,0.00,NA,NA,NA,NA,NA,NA,76.40,1.03,169.14,0.00,0.00,218.60,NA,NA
2025-01-06 12:00:00,156.00,280.18,NA,66.49,NA,NA,16.80,NA,NA,0.00,NA,NA,NA,NA,NA,NA,72.42,1.22,162.37,0.00,0.00,218.75,NA,NA
2025-01-06 13:00:00,162.20,290.75,NA,67.76,NA,NA,20.65,NA,NA,0.00,NA,NA,NA,NA,NA,NA,71.37,1.32,165.51,0.00,0.00,218.77,NA,NA
2025-01-06 14:00:00,157.60,283.00,NA,69.48,NA,NA,21.10,NA,NA,0.00,NA,NA,NA,NA,NA,NA,72.07,1.14,160.64,0.00,0.00,218.70,NA,NA
2025-01-06 15:00:00,152.82,274.90,NA,69.44,NA,NA,19.50,NA,NA,0.00,NA,NA,NA,NA,NA,NA,76.54,0.87,152.61,0.00,0.00,218.58,NA,NA
2025-01-06 16:00:00,139.75,252.62,NA,69.44,NA,NA,17.14,NA,NA,0.00,NA,NA,NA,NA,NA,NA,81.65,0.71,151.66,0.00,0.00,218.23,NA,NA
2025-01-06 17:00:00,146.40,263.92,NA,77.14,NA,NA,21.06,NA,NA,0.00,NA,NA,NA,NA,NA,NA,87.77,0.48,161.83,0.00,0.00,218.38,NA,NA
2025-01-06 18:00:00,169.77,303.60,NA,79.58,NA,NA,19.33,NA,NA,0.00,NA,NA,NA,NA,NA,NA,93.27,0.48,159.88,0.00,0.00,218.15,NA,NA
2025-01-06 19:00:00,167.05,298.92,NA,79.37,NA,NA,24.66,NA,NA,0.00,NA,NA,NA,NA,NA,NA,94.22,0.54,157.12,0.00,0.00,218.30,NA,NA
2025-01-06 20:00:00,161.05,288.75,NA,79.44,NA,NA,24.20,NA,NA,0.00,NA,NA,NA,NA,NA,NA,94.86,0.54,150.54,0.00,0.00,218.22,NA,NA
2025-01-06 21:00:00,147.12,265.10,NA,79.63,NA,NA,24.58,NA,NA,0.00,NA,NA,NA,NA,NA,NA,94.62,0.48,157.28,0.00,0.00,218.30,NA,NA
2025-01-06 22:00:00,148.00,266.60,NA,78.82,NA,NA,23.63,NA,NA,0.00,NA,NA,NA,NA,NA,NA,94.55,0.48,148.45,0.00,0.00,218.20,NA,NA
2025-01-06 23:00:00,147.53,265.80,NA,78.27,NA,NA,23.32,NA,NA,0.00,NA,NA,NA,NA,NA,NA,94.72,0.52,148.30,0.00,0.00,218.20,NA,NA
2025-01-07 00:00:00,131.00,237.68,NA,77.33,NA,NA,18.20,NA,NA,0.00,NA,NA,NA,NA,NA,NA,95.87,0.47,143.19,0.00,0.00,218.25,NA,NA
2025-01-07 01:00:00,123.78,225.40,NA,76.49,NA,NA,20.22,NA,NA,0.00,NA,NA,NA,NA,NA,NA,96.25,0.40,140.35,0.00,0.00,218.18,NA,NA
2025-01-07 02:00:00,118.47,216.37,NA,76.23,NA,NA,21.05,NA,NA,0.00,NA,NA,NA,NA,NA,NA,96.71,0.39,141.54,0.00,0.00,218.03,NA,NA
